StateAbbr,Lat,Long
TX,29.6589511,95.1509173
TX,29.5584851,95.3208389
TX,26.1688154,98.1904721
TX,33.0502149,96.748641
TX,32.9716582,96.7093053
TX,30.5239578,97.6669802
TX,31.4404687,100.452243
TX,29.4721475,98.5246764
TX,29.5974681,95.6274558
TX,32.3154021,95.3050094
TX,31.5597607,97.1883333
TX,33.907274,98.5292982
UT,41.0771816,111.961589
UT,41.2281568,111.967451
UT,40.2987128,111.699189
UT,40.2457185,111.645716
UT,37.0787445,113.579353
UT,40.7778489,111.931221
UT,40.5702254,111.852431
UT,40.6022599,112.000962
UT,40.6887697,112.011667
VT,44.4876246,73.2314828
VA,38.8187352,77.0867763
VA,36.6777521,76.3024326
VA,37.0533009,76.3665946
VA,37.4004163,79.1911081
VA,37.1051141,76.5182645
VA,36.8932863,76.2567158
VA,36.845145,76.3552763
VA,37.5293933,77.4755682
VA,37.2782182,79.9581616
VA,36.6930368,76.6414278
VA,36.7534593,76.058958
WA,47.3038544,122.210811
WA,47.5962438,122.15357
WA,48.753537,122.468093
WA,47.9497966,122.160704
WA,47.3090846,122.335756
WA,46.1984384,119.173246
WA,47.3849636,122.21789
WA,47.4760547,122.191153
WA,47.6221543,122.323532
WA,47.6736243,117.415973
WA,47.6625566,117.234572
WA,47.2425411,122.454474
WA,45.6357172,122.598539
WA,46.5925792,120.547808
WV,38.348408,81.632165
WI,44.2776987,88.3897664
WI,44.5149848,87.9896196
WI,42.5855703,87.8735745
WI,43.0809866,89.3915106
WI,43.0641259,87.9672412
WI,42.7274599,87.813453
WI,43.0093332,88.2457679
WY,41.1460804,104.789064
